% GTOC8 VLBI Radio Source Mapping
% Data file:  gtoc8_radiosources.txt
%
% Directions of the radio sources: Right Ascension (RA) and Declination (DEC)
% in the GTOC8 Problem coordinate frame.
%
%
% -----------------------------------
% Source     RA (deg)       DEC (deg)
%   ID
% -----------------------------------
     1      359.92065       -88.78955
     2      356.91670       -80.27817
     3       64.09616       -79.25290
     4      118.90179       -80.08681
     5      181.02500       -82.32760
     6      244.90029       -77.52563
     7      299.88233       -77.26322
     8        1.15811       -69.64070
     9       29.26765       -67.07108
    10       56.22022       -72.82222
    11       89.61654       -67.94449
    12      118.90000       -67.32423
    13      149.29094       -65.33560
    14      178.41405       -69.65446
    15      212.05682       -68.49736
    16      -13.70298       -28.81134
    17      273.05959       -73.90045
    18      299.34247       -68.45140
    19      331.01999       -69.34742
    20        0.08007       -62.20893
    21       19.54257       -60.38873
    22       36.98163       -63.48211
    23       61.43863       -60.52251
    24       79.77346       -59.42090
    25       98.05510       -60.10457
    26      117.89704       -59.56206
    27      136.75591       -60.17693
    28      162.07805       -58.10875
    29      176.42336       -59.83104
    30      201.13949       -59.90671
    31      221.07588       -59.74542
    32      240.63833       -64.22424
    33      259.61763       -56.43954
    34      281.70938       -58.73032
    35      294.75570       -55.85277
    36      318.78027       -59.82017
    37      337.61943       -59.34174
    38      359.05883       -48.18919
    39       14.08828       -51.43468
    40       32.05945       -53.10885
    41       49.13593       -49.56073
    42       63.86584       -49.57869
    43       77.40982       -48.80318
    44       91.01700       -51.79454
    45      110.50198       -48.62507
    46      123.86960       -45.69637
    47      141.34921       -49.66721
    48      156.52238       -51.79873
    49      171.06410       -49.20861
    50      188.88973       -48.46672
    51      200.69828       -49.92761
    52      219.06121       -50.22367
    53      235.97721       -49.00509
    54      251.89001       -51.97890
    55      265.90339       -47.68150
    56      282.82418       -47.43945
    57      298.55754       -49.02564
    58      311.60358       -51.32555
    59      331.95243       -46.77841
    60      346.90993       -49.90270
    61      359.06836       -42.90979
    62       11.44387       -40.97942
    63       25.29521       -40.81355
    64       36.68898       -38.26897
    65       52.15690       -40.64929
    66       63.24339       -37.19402
    67       78.88039       -42.92651
    68       88.07462       -40.25902
    69      101.08933       -40.74400
    70      117.01674       -40.37579
    71      129.60773       -39.31939
    72      141.98388       -38.59050
    73      153.73079       -39.45516
    74      165.54616       -39.35762
    75      179.91350       -36.72425
    76      194.62730       -36.56194
    77      205.33863       -37.61583
    78      217.50660       -38.67559
    79      230.50905       -40.37984
    80      245.14647       -42.82787
    81      259.43648       -40.58926
    82      269.22921       -40.16819
    83      284.22530       -36.73223
    84      296.28859       -41.51999
    85      309.72835       -40.36372
    86      323.00236       -37.56657
    87      332.97481       -37.21496
    88      346.82256       -40.40563
    89      359.67005       -27.80584
    90       12.76633       -31.09065
    91       23.26088       -32.11528
    92       34.16945       -30.09345
    93       47.97542       -27.33196
    94       60.06512       -28.03899
    95       66.77390       -29.00783
    96       84.34929       -28.09646
    97       94.89564       -32.68270
    98      104.58920       -30.13223
    99      116.36245       -31.70916
   100      126.93345       -28.94045
   101      140.35311       -30.74510
   102      152.24190       -28.95487
   103      163.65431       -30.56051
   104      173.03853       -33.30816
   105      183.22433       -30.58480
   106      196.20098       -31.54556
   107      208.64646       -27.30943
   108      221.11589       -26.61680
   109      234.08780       -29.26085
   110      243.13073       -26.35900
   111      254.25815       -28.82473
   112      266.27907       -29.06019
   113      277.01909       -31.07389
   114      289.90655       -33.42495
   115      297.53799       -26.59310
   116      314.27931       -31.97998
   117      326.50986       -31.60776
   118      337.40737       -30.39950
   119      349.61950       -27.92384
   120        1.98365       -19.54821
   121       10.14678       -19.78001
   122       21.75313       -23.43838
   123       32.64085       -19.15751
   124       43.05523       -23.03077
   125       57.06589       -19.76456
   126       65.99405       -20.93567
   127       74.85377       -20.64646
   128       89.49621       -22.69178
   129       94.98312       -18.24870
   130      105.25471       -20.27604
   131      115.60299       -19.83093
   132      128.46182       -21.44852
   133      135.85108       -21.66317
   134      148.34803       -20.98291
   135      158.08597       -21.25839
   136      168.32386       -18.99634
   137      179.83490       -17.03219
   138      193.78749       -22.14307
   139      200.43043       -17.61370
   140      209.94712       -16.24690
   141      221.44233       -19.28969
   142      232.54305       -17.31948
   143      242.76637       -22.44479
   144      253.57922       -18.70391
   145      260.86603       -17.97030
   146      271.91144       -20.69918
   147      285.49621       -18.41560
   148      298.58878       -19.39339
   149      307.33541       -23.33198
   150      315.31499       -17.41818
   151      332.21033       -20.14518
   152      337.17567       -23.35455
   153      352.50628       -21.20217
   154        2.38149        -9.55236
   155        9.72063        -9.80380
   156       21.47063        -9.95922
   157       32.96692       -11.84241
   158       38.92570       -10.74441
   159       49.09937        -8.73784
   160       59.45576        -7.67719
   161       73.34137        -9.86491
   162       83.63015       -12.51150
   163       91.21262       -12.50633
   164      100.60798       -11.57385
   165      111.52304       -11.31595
   166      121.00680        -8.76943
   167      133.43817       -12.36019
   168      145.92036       -10.22081
   169      153.85888       -10.27888
   170      167.99339       -11.38587
   171      172.62781       -11.59294
   172      185.88332       -11.16726
   173      196.90738        -7.51632
   174      204.38379       -11.44486
   175      217.85471        -9.12338
   176      225.86582       -10.57420
   177      235.51822        -9.54681
   178      246.30156        -8.46664
   179      260.10697       -10.65376
   180      271.39617       -13.19255
   181      276.42052       -12.69093
   182      286.33757        -5.80900
   183      296.51205       -10.49374
   184      304.38414       -11.23502
   185      321.02702       -12.50944
   186      328.54363       -11.90137
   187      337.63701        -9.17314
   188      350.94974       -11.43958
   189        0.27459         0.64583
   190       12.03614         0.31594
   191       20.18949         4.67344
   192       32.24385         0.92125
   193       41.67484        -1.97055
   194       48.79947         0.17478
   195       59.11799         0.12320
   196       71.25030        -0.24357
   197       77.91901         0.97618
   198       87.88767         0.02431
   199       98.66184         1.82828
   200      110.41998        -0.00215
   201      116.28213         0.88815
   202      132.46438        -1.68719
   203      138.43299        -1.53041
   204      147.70357        -0.09558
   205      161.35778         0.86218
   206      169.41600        -1.98228
   207      179.23715         1.88812
   208      187.97835         1.70437
   209      197.40457         3.34010
   210      211.94001         1.86906
   211      219.02328        -1.75230
   212      231.13273         2.79350
   213      239.65446        -1.09811
   214      248.77494        -1.81304
   215      258.26074         1.37336
   216      270.91743         0.38151
   217      277.86299         2.27113
   218      289.45304         1.11593
   219      298.80549        -2.48007
   220      309.18339         0.97448
   221      321.37855         2.63145
   222      330.32304        -1.25317
   223      338.14872        -0.80482
   224      350.55589         1.11693
   225        1.03682         8.51030
   226        6.83452         6.74199
   227       22.92864        10.10082
   228       32.23982         7.15590
   229       44.17511        10.91090
   230       50.64200        11.53513
   231       62.95390         8.48354
   232       68.95586         9.29619
   233       79.41150        12.49876
   234       94.84406        10.09303
   235      102.12325         9.31418
   236      115.87148         9.37857
   237      125.24220         9.52288
   238      136.30420        12.51756
   239      141.83924        10.75731
   240      156.08006         8.96697
   241      164.07089        11.60641
   242      175.89317         8.71097
   243      185.78974        10.55477
   244      197.92955         9.41392
   245      204.10361         7.45302
   246      217.74937        10.91280
   247      225.90478         9.92496
   248      235.72760         8.74403
   249      247.65566         7.94940
   250      259.49626        12.40535
   251      265.87686         8.34996
   252      275.12887        12.53533
   253      286.50361        12.39873
   254      298.61341        10.02635
   255      305.71261         8.76588
   256      320.13193         9.52668
   257      331.66494        10.66545
   258      342.75931        11.87293
   259      347.76283         9.17962
   260        0.21021        19.28893
   261        8.44649        18.85993
   262       18.46884        18.36394
   263       30.99376        20.34747
   264       41.07110        18.94095
   265       51.86762        20.14733
   266       61.55073        19.24424
   267       76.29781        18.31816
   268       86.98466        22.28663
   269       94.82602        21.33375
   270      106.99737        19.23859
   271      114.02224        22.72405
   272      123.67975        19.84219
   273      136.43831        20.78540
   274      150.06922        18.43591
   275      155.57129        20.02535
   276      167.12468        18.58792
   277      182.72195        19.55977
   278      190.63699        20.13792
   279      203.24066        21.88816
   280      210.21267        19.20587
   281      223.86331        22.25746
   282      230.93501        20.17239
   283      240.80415        19.94408
   284      256.69886        20.79785
   285      266.21256        17.27592
   286      273.36791        18.20877
   287      287.31015        19.09368
   288      293.34712        18.60706
   289      306.03714        18.93500
   290      316.38307        17.37979
   291      326.71877        18.72562
   292      336.74370        20.60412
   293      350.39743        19.05293
   294      359.96146        31.43742
   295       11.85140        33.04386
   296       24.52705        29.99036
   297       32.46653        28.93612
   298       43.51823        30.50017
   299       57.14812        32.77964
   300       70.83809        27.10183
   301       82.40048        30.88054
   302       94.01518        29.15368
   303      105.63122        31.44163
   304      119.06006        28.04167
   305      128.81202        31.32031
   306      139.34586        30.43164
   307      150.17828        30.02410
   308      162.58342        28.86824
   309      172.53225        31.40105
   310      185.67762        30.43507
   311      197.45473        27.56880
   312      208.83916        27.21453
   313      222.76242        27.05700
   314      232.45235        30.67016
   315      242.58484        28.87482
   316      255.13225        32.18468
   317      267.78254        29.62108
   318      277.13960        29.51534
   319      291.38540        31.63298
   320      300.48432        30.57975
   321      312.85526        30.34527
   322      325.50843        31.01166
   323      338.36536        31.72780
   324      346.36935        32.40342
   325        2.84764        37.69778
   326       13.88564        42.65997
   327       25.93200        39.21387
   328       38.68130        38.31367
   329       52.54156        38.55167
   330       67.85955        39.06196
   331       77.82951        44.68964
   332       88.01375        39.94318
   333      101.12290        36.37839
   334      113.77270        40.03448
   335      129.17292        35.97025
   336      141.43113        37.82596
   337      152.21680        40.84084
   338      170.30285        41.00392
   339      178.73763        36.56666
   340      193.56391        38.13751
   341      203.87887        42.64595
   342      222.36504        41.33994
   343      232.95158        38.31003
   344      245.92182        41.01111
   345      257.14479        40.73717
   346      270.73817        41.03196
   347      284.91855        43.44748
   348      294.59191        40.45144
   349      308.55538        37.77128
   350      321.51644        40.91679
   351      333.46969        37.52157
   352      347.56319        41.75708
   353      354.26234        49.58183
   354       19.06024        48.89795
   355       30.50081        52.05775
   356       46.89686        52.29584
   357       64.41520        48.75566
   358       77.92911        45.96586
   359       94.36419        48.26433
   360      108.38284        49.56928
   361      126.50626        46.01151
   362      141.41058        52.31122
   363      158.04902        50.87663
   364      171.30101        48.81864
   365      188.73070        49.22803
   366      200.41424        49.26026
   367      220.32940        48.86286
   368      234.49866        47.72056
   369      248.71142        52.48712
   370      264.32677        51.24091
   371      281.66582        51.66736
   372      297.52962        48.39766
   373      313.03375        51.28676
   374      330.54866        50.00905
   375      346.22818        49.14176
   376        0.09530        60.47746
   377       19.59750        61.21941
   378       39.37060        62.22782
   379       60.97220        56.82516
   380       80.41372        57.76712
   381      100.21169        61.75576
   382      119.08131        62.34155
   383      140.70212        58.43333
   384      162.22602        58.36474
   385      179.99411        62.06827
   386      200.88416        60.83472
   387      220.61275        61.74297
   388      241.03324        59.49977
   389      260.35891        59.51633
   390      278.10579        62.05309
   391      300.07828        64.24452
   392      320.93302        62.06776
   393      338.10875        58.00160
   394      358.96459        73.96146
   395       29.12107        70.43217
   396       57.47235        68.37859
   397       90.75229        69.25025
   398      118.14202        70.48197
   399      151.78999        73.55852
   400      180.79924        69.38621
   401      208.02736        67.17387
   402      239.46658        69.35110
   403      268.67363        71.39317
   404      297.44283        71.12156
   405      327.98856        69.21388
   406        3.07354        82.38233
   407       56.28465        78.72228
   408      120.05237        80.17269
   409      179.72854        79.15047
   410      242.68964        78.74808
   411      301.37074        79.96597
   412        1.94084        89.12247
   413        5.49574        80.50522
   414        5.34961        76.87223
   415       26.28373        38.25666
   416       24.79183        41.58851
   417       23.40099        41.12383
   418       72.22539        -1.18310
   419       74.10626         0.32759
   420       68.80459         2.09720
